INFORME COVID19 REGIONAL DIARIO A   25/11/2020;;;;;;;;
;;;;;;;;
Tabla 1. Casos confirmados COVID19 desde 10 de mayo por municipio residencia (N=52138). Región de Murcia;;;;;;;;
Municipio;Población;Casos PCR/Ag.+ acum.;% Total casos;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.7 días
Abanilla;6127;254;0,004871687;4145,585115;21;342,745226;10;163,2120124
Abarán;12964;266;0,005101845;2051,835853;21;161,987041;10;77,13668621
Águilas;35301;513;0,009839273;1453,216623;56;158,6357327;26;73,65230447
Albudeite;1373;42;0,000805554;3058,994902;6;436,9992717;2;145,6664239
Alcantarilla;42048;1513;0,029019142;3598,268645;177;420,9474886;44;104,6423135
Alcázares, Los;16138;443;0,008496682;2745,073739;111;687,8175734;57;353,2036188
Aledo;1022;37;0,000709655;3620,35225;4;391,3894325;3;293,5420744
Alguazas;9638;402;0,007710307;4170,989832;34;352,7702843;13;134,8827558
Alhama de Murcia;22077;1086;0,020829338;4919,146623;162;733,7953526;50;226,4800471
Archena;19301;931;0,017856458;4823,58427;102;528,4700275;29;150,2512823
Beniel;11318;401;0,007691127;3543,028804;17;150,2032161;4;35,3419332
Blanca;6539;174;0,003337297;2660,957333;29;443,4928888;9;137,6357241
Bullas;11530;289;0,005542982;2506,50477;31;268,8638335;9;78,05724198
Calasparra;10178;141;0,002704362;1385,340931;46;451,9551975;19;186,6771468
Campos del Río;2028;95;0,001822088;4684,418146;5;246,5483235;2;98,61932939
Caravaca de la Cruz;25760;1202;0,023054202;4666,149068;217;842,3913043;60;232,9192547
Cartagena;214802;4039;0,07746749;1880,33631;469;218,3406114;198;92,17791268
Cehegín;14983;466;0,008937819;3110,19155;98;654,0746179;20;133,4846159
Ceutí;11787;544;0,010433849;4615,254093;39;330,8729957;15;127,2588445
Cieza;34988;1000;0,019179869;2858,122785;123;351,5491025;40;114,3249114
Fortuna;10112;511;0,009800913;5053,401899;16;158,2278481;7;69,22468354
Fuente Álamo de Murcia;16583;768;0,014730139;4631,248869;86;518,603389;19;114,5751673
Jumilla;25600;1787;0,034274426;6980,46875;171;667,96875;75;292,96875
Librilla;5305;130;0,002493383;2450,518379;14;263,9019793;2;37,70028275
Lorca;94404;4654;0,089263109;4929,875853;375;397,228931;121;128,1725351
Lorquí;7141;298;0,005715601;4173,085002;13;182,0473323;6;84,02184568
Mazarrón;32209;795;0,015247996;2468,254215;103;319,7863951;45;139,7125027
Molina de Segura;71890;2441;0,04681806;3395,465294;166;230,9083322;60;83,46084295
Moratalla;7839;284;0,005447083;3622,911086;25;318,9182294;7;89,29710422
Mula;16883;602;0,011546281;3565,716993;56;331,694604;26;154,0010662
Murcia;453258;15216;0,291840884;3357,028447;1537;339,1004682;442;97,5162049
Ojós;500;7;0,000134259;1400;0;0;0;0
Pliego;3847;83;0,001591929;2157,525344;14;363,9199376;3;77,98284377
Puerto Lumbreras;15394;338;0,006482796;2195,660647;70;454,7226192;30;194,8811225
Ricote;1264;36;0,000690475;2848,101266;3;237,3417722;0;0
San Javier;32489;1081;0,020733438;3327,280002;197;606,3590754;113;347,810028
San Pedro del Pinatar;25476;582;0,011162684;2284,503062;89;349,3484063;26;102,0568378
Santomera;16206;474;0,009091258;2924,842651;30;185,1166235;10;61,70554116
Torre-Pacheco;35676;1510;0,028961602;4232,53728;236;661,5091378;97;271,8914677
Torres de Cotillas, Las;21471;761;0,01459588;3544,315588;51;237,5296912;24;111,7786782
Totana;32008;2850;0,054662626;8904,023994;300;937,2656836;129;403,0242439
Ulea;874;10;0,000191799;1144,16476;0;0;0;0
Unión, La;20225;404;0,007748667;1997,527812;78;385,6613103;25;123,6093943
Villanueva del Río Segura;2910;160;0,003068779;5498,281787;6;206,185567;0;0
Yecla;34432;1355;0,025988722;3935,292751;399;1158,805762;112;325,2788104
Otras CCAA;0;1140;0,02186505;0;117;0;45;0
Desconocido;0;23;0,000441137;0;2;0;1;0
Región de Murcia;1493898;52138;1;3490,064248;5922;396,4126065;2045;136,8902027
;;;;;;;;
;;;;;;;;
;;;;;;;;
Tabla 2. Casos confirmados COVID19 desde 10 de mayo por zona básica asignada. Región de Murcia;;;;;;;;
Zona Básica Salud;Población;Casos PCR/Ag.+ acum.;IA*;Casos PCR/Ag.+ últ.14 días;IA* últ.14 días;Casos PCR/Ag.+ últ. 7 días;IA* últ.7 días;
Abanilla;6127;248;4047,657908;21;342,745226;10;163,2120124;
Abarán;12964;248;1912,989818;19;146,5597038;8;61,70934897;
Águilas / Norte;20849;277;1328,600892;37;177,4665452;18;86,33507602;
Águilas / Sur;14519;213;1467,043185;19;130,8630071;8;55,10021351;
Alcantarilla / Casco;18862;542;2873,50228;59;312,7982186;13;68,9216414;
Alcantarilla / Sangonera;29395;1083;3684,300051;133;452,457901;35;119,0678687;
Alguazas;9638;398;4129,487446;33;342,3946877;12;124,5071592;
Alhama de Murcia;22077;1028;4656,429769;150;679,4401413;47;212,8912443;
Archena;24849;1091;4390,518733;103;414,5036018;28;112,6805908;
Beniel;11318;407;3596,041703;17;150,2032161;3;26,5064499;
Blanca;6539;165;2523,321609;27;412,9071724;7;107,0500076;
Bullas;11530;282;2445,793582;32;277,5368604;10;86,73026886;
Calasparra;10555;146;1383,230696;44;416,8640455;19;180,0094742;
Caravaca;21057;1048;4976,967279;197;935,5558722;55;261,1958019;
Caravaca / Barranda;4874;112;2297,907263;15;307,755437;5;102,5851457;
