municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2020/11/17 12:22:00;;;315;264;5609;4700,92;079603
Madrid-Salamanca;2020/11/17 12:22:00;;;485;331,96;6926;4740,46;079604
Madrid-Centro;2020/11/17 12:22:00;;;391;289,96;6818;5056,06;079601
Madrid-Arganzuela;2020/11/17 12:22:00;;;354;230,16;7358;4784,04;079602
Madrid-Chamartín;2020/11/17 12:22:00;;;393;269,46;6571;4505,34;079605
Madrid-Tetuán;2020/11/17 12:22:00;;;394;249,33;8317;5263,16;079606
Madrid-Chamberí;2020/11/17 12:22:00;;;443;317,84;6706;4811,34;079607
Madrid-Fuencarral-El Pardo;2020/11/17 12:22:00;;;632;256,97;10559;4293,34;079608
Madrid-Moncloa-Aravaca;2020/11/17 12:22:00;;;356;298,11;5890;4932,21;079609
Madrid-Latina;2020/11/17 12:22:00;;;569;238,86;12855;5396,32;079610
Madrid-Carabanchel;2020/11/17 12:22:00;;;708;279,73;16027;6332,3;079611
Madrid-Usera;2020/11/17 12:22:00;;;285;203,95;9530;6819,76;079612
Madrid-Puente de Vallecas;2020/11/17 12:22:00;;;770;327,86;18912;8052,56;079613
Madrid-San Blas - Canillejas;2020/11/17 12:22:00;;;426;269,38;7825;4948,08;079620
Madrid-Barajas;2020/11/17 12:22:00;;;113;230,87;1988;4061,7;079621
Madrid-Moratalaz;2020/11/17 12:22:00;;;305;322,51;5287;5590,57;079614
Madrid-Ciudad Lineal;2020/11/17 12:22:00;;;684;316,25;11829;5469,2;079615
Madrid-Hortaleza;2020/11/17 12:22:00;;;576;306,08;7835;4163,41;079616
Madrid-Villaverde;2020/11/17 12:22:00;;;388;260,5;9941;6674,23;079617
Madrid-Villa de Vallecas;2020/11/17 12:22:00;;;278;251,89;6119;5544,33;079618
Madrid-Vicálvaro;2020/11/17 12:22:00;;;248;344,01;3838;5323,83;079619
Pozuelo de Alarcón;2020/11/17 12:22:00;;;236;273,08;3555;4113,54;1150
Alcorcón;2020/11/17 12:22:00;;;399;234;7687;4508,13;0072
Navalcarnero;2020/11/17 12:22:00;;;99;337,91;982;3351,76;0967
San Agustín del Guadalix;2020/11/17 12:22:00;;;46;343,82;627;4686,45;1296
Las Rozas de Madrid;2020/11/17 12:22:00;;;283;295,36;3430;3579,85;1277
Moraleja de Enmedio;2020/11/17 12:22:00;;;11;214,17;293;5704,83;0894
Valdaracete;2020/11/17 12:22:00;;;;328,41;46;7553,37;1551
Pozuelo del Rey;2020/11/17 12:22:00;;;;87,18;22;1918,05;1163
Puebla de la Sierra;2020/11/17 12:22:00;;;;0;;0;
Perales de Tajuña;2020/11/17 12:22:00;;;15;511,07;154;5247,02;1104
Valdemorillo;2020/11/17 12:22:00;;;29;231,67;394;3147,47;1603
Navalafuente;2020/11/17 12:22:00;;;;276,05;52;3588,68;0941
Velilla de San Antonio;2020/11/17 12:22:00;;;30;245,18;501;4094,48;1678
Villanueva de la Cañada;2020/11/17 12:22:00;;;91;424,34;773;3604,57;1760
Villanueva del Pardillo;2020/11/17 12:22:00;;;46;267,75;578;3364,38;1776
Nuevo Baztán;2020/11/17 12:22:00;;;9;143,4;230;3664,75;1006
Villamantilla;2020/11/17 12:22:00;;;14;971,55;51;3539,21;1757
Villamanta;2020/11/17 12:22:00;;;;117,42;92;3600,78;1744
Cabanillas de la Sierra;2020/11/17 12:22:00;;;;264,55;45;5952,38;0297
Cenicientos;2020/11/17 12:22:00;;;;98,38;95;4672,9;0376
Puentes Viejas;2020/11/17 12:22:00;;;;441,83;19;2798,23;9020
Aranjuez;2020/11/17 12:22:00;;;171;286,88;2630;4412,23;0133
Cercedilla;2020/11/17 12:22:00;;;15;213,49;347;4938,8;0382
Santorcaz;2020/11/17 12:22:00;;;5;564,33;38;4288,94;1369
Coslada;2020/11/17 12:22:00;;;211;258,39;4102;5023,21;0493
Morata de Tajuña;2020/11/17 12:22:00;;;38;494,6;476;6195,5;0915
Robregordo;2020/11/17 12:22:00;;;;0;;1724,14;1261
Navarredonda y San Mamés;2020/11/17 12:22:00;;;;775,19;7;5426,36;0973
Venturada;2020/11/17 12:22:00;;;5;231,16;93;4299,58;1697
Navacerrada;2020/11/17 12:22:00;;;9;302,83;107;3600,27;0936
Montejo de la Sierra;2020/11/17 12:22:00;;;;849,86;18;5099,15;0881
Fresno de Torote;2020/11/17 12:22:00;;;6;270,15;59;2656,46;0571
Pinilla del Valle;2020/11/17 12:22:00;;;;0;;523,56;1126
Valdemaqueda;2020/11/17 12:22:00;;;;128,04;22;2816,9;1599
Navas del Rey;2020/11/17 12:22:00;;;;137,08;138;4729,27;0992
Olmeda de las Fuentes;2020/11/17 12:22:00;;;;0;10;2873,56;1013
Bustarviejo;2020/11/17 12:22:00;;;5;199,76;39;1558,13;0284
Becerril de la Sierra;2020/11/17 12:22:00;;;14;245,01;188;3290,16;0186
Fuenlabrada;2020/11/17 12:22:00;;;667;344,35;10524;5433,14;0587
Garganta de los Montes;2020/11/17 12:22:00;;;;576,37;8;2305,48;0626
Pinto;2020/11/17 12:22:00;;;145;276,05;2022;3849,52;1132
Alameda del Valle;2020/11/17 12:22:00;;;;500;;1000;0035
Berzosa del Lozoya;2020/11/17 12:22:00;;;16;7804,88;37;18048,78;0203
Los Santos de la Humosa;2020/11/17 12:22:00;;;;154,44;78;3011,58;1375
El Álamo;2020/11/17 12:22:00;;;35;369,59;385;4065,47;0040
Pelayos de la Presa;2020/11/17 12:22:00;;;13;500,77;124;4776,58;1090
Galapagar;2020/11/17 12:22:00;;;150;444,55;1655;4904,87;0611
Griñón;2020/11/17 12:22:00;;;51;494,23;573;5552,86;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/11/17 12:22:00;;;;949,37;15;4746,84;0632
Aldea del Fresno;2020/11/17 12:22:00;;;6;211,42;141;4968,29;0088
Carabaña;2020/11/17 12:22:00;;;6;298,51;109;5422,89;0357
Talamanca de Jarama;2020/11/17 12:22:00;;;8;207,42;179;4640,91;1454
Chapinería;2020/11/17 12:22:00;;;;85,91;59;2534,36;0513
Ciempozuelos;2020/11/17 12:22:00;;;99;402,57;1073;4363,21;0409
Ajalvir;2020/11/17 12:22:00;;;10;212,22;126;2674,02;0029
San Lorenzo de El Escorial;2020/11/17 12:22:00;;;48;261,31;654;3560,35;1317
Gascones;2020/11/17 12:22:00;;;;0;;1036,27;0647
San Martín de la Vega;2020/11/17 12:22:00;;;67;349,5;775;4042,78;1322
Móstoles;2020/11/17 12:22:00;;;588;281,09;9531;4556,28;0920
Leganés;2020/11/17 12:22:00;;;444;233,86;9401;4951,52;0745
Braojos;2020/11/17 12:22:00;;;;487,8;14;6829,27;0246
Cubas de la Sagra;2020/11/17 12:22:00;;;16;249,49;311;4849,52;0506
Algete;2020/11/17 12:22:00;;;72;349,33;951;4614,04;0091
Mejorada del Campo;2020/11/17 12:22:00;;;96;412,48;1038;4459,91;0843
Loeches;2020/11/17 12:22:00;;;23;261,63;338;3844,84;0758
Parla;2020/11/17 12:22:00;;;359;275,89;7941;6102,64;1065
Fuentidueña de Tajo;2020/11/17 12:22:00;;;16;779,35;120;5845,1;0604
Ambite;2020/11/17 12:22:00;;;;675,68;33;5574,32;0112
Torremocha de Jarama;2020/11/17 12:22:00;;;;196,27;36;3532,88;1533
Anchuelo;2020/11/17 12:22:00;;;6;472,07;32;2517,7;0127
Los Molinos;2020/11/17 12:22:00;;;8;182,27;235;5354,29;0875
Soto del Real;2020/11/17 12:22:00;;;17;193,2;233;2648,03;1441
Valverde de Alcalá;2020/11/17 12:22:00;;;;215,05;18;3870,97;1662
Fuente el Saz de Jarama;2020/11/17 12:22:00;;;9;134,41;346;5167,26;0590
Horcajo de la Sierra-Aoslos;2020/11/17 12:22:00;;;;0;6;4137,93;0702
Valdeolmos-Alalpardo;2020/11/17 12:22:00;;;7;169,25;151;3650,87;1625
Campo Real;2020/11/17 12:22:00;;;17;273,75;319;5136,88;0339
Valdeavero;2020/11/17 12:22:00;;;;193,05;31;1994,85;1564
Villamanrique de Tajo;2020/11/17 12:22:00;;;;284,5;23;3271,69;1739
Cobeña;2020/11/17 12:22:00;;;17;228,86;331;4456,11;0416
Fresnedillas de la Oliva;2020/11/17 12:22:00;;;;190,84;45;2862,6;0565
Valdilecha;2020/11/17 12:22:00;;;26;886,46;182;6205,25;1659
El Berrueco;2020/11/17 12:22:00;;;;526,32;53;6973,68;0210
Pezuela de las Torres;2020/11/17 12:22:00;;;;0;23;2731,59;1111
Villar del Olmo;2020/11/17 12:22:00;;;;149,18;60;2983,59;1795
Guadarrama;2020/11/17 12:22:00;;;68;424,15;801;4996,26;0685
San Martín de Valdeiglesias;2020/11/17 12:22:00;;;35;413,76;415;4906,02;1338
Torrelodones;2020/11/17 12:22:00;;;70;295,15;937;3950,75;1527
Boadilla del Monte;2020/11/17 12:22:00;;;199;364,67;1683;3084,11;0225
Torrejón de Velasco;2020/11/17 12:22:00;;;12;273,85;186;4244,64;1505
Villanueva de Perales;2020/11/17 12:22:00;;;;191,94;28;1791,43;1782
Tielmes;2020/11/17 12:22:00;;;15;566,04;185;6981,13;1467
San Sebastián de los Reyes;2020/11/17 12:22:00;;;273;305,79;4322;4841,17;1343
Guadalix de la Sierra;2020/11/17 12:22:00;;;23;370,13;236;3797,88;0679
Humanes de Madrid;2020/11/17 12:22:00;;;66;334,3;1160;5875,5;0730
Chinchón;2020/11/17 12:22:00;;;28;525,23;220;4126,81;0528
Cadalso de los Vidrios;2020/11/17 12:22:00;;;13;427,77;80;2632,44;0318
Hoyo de Manzanares;2020/11/17 12:22:00;;;25;296,42;263;3118,33;0724
Torrejón de la Calzada;2020/11/17 12:22:00;;;33;371,96;394;4440,94;1492
Estremera;2020/11/17 12:22:00;;;;158,73;46;3650,79;0552
Corpa;2020/11/17 12:22:00;;;;0;16;2244,04;0480
Meco;2020/11/17 12:22:00;;;30;209,72;439;3068,86;0838
Madarcos;2020/11/17 12:22:00;;;;0;;8333,33;0783
Zarzalejo;2020/11/17 12:22:00;;;;60,31;77;4644,15;1837
Arganda del Rey;2020/11/17 12:22:00;;;183;330,39;2587;4670,6;0148
Collado Mediano;2020/11/17 12:22:00;;;29;416,79;218;3133,08;0468
Daganzo de Arriba;2020/11/17 12:22:00;;;9;88,19;303;2969,13;0534
Manzanares El Real;2020/11/17 12:22:00;;;30;339,37;326;3687,78;0822
Buitrago del Lozoya;2020/11/17 12:22:00;;;5;265,39;81;4299,36;0278
Valdelaguna;2020/11/17 12:22:00;;;;320,17;33;3521,88;1570
Valdepiélagos;2020/11/17 12:22:00;;;6;1027,4;25;4280,82;1631
Casarrubuelos;2020/11/17 12:22:00;;;11;291,16;163;4314,45;0360
Miraflores de la Sierra;2020/11/17 12:22:00;;;22;360,18;188;3077,93;0856
Paracuellos de Jarama;2020/11/17 12:22:00;;;39;154,34;842;3332,15;1049
El Vellón;2020/11/17 12:22:00;;;;102,15;96;4902,96;1684
Lozoya;2020/11/17 12:22:00;;;;344,23;15;2581,76;0761
Collado Villalba;2020/11/17 12:22:00;;;259;406,73;3193;5014,21;0474
Colmenarejo;2020/11/17 12:22:00;;;17;186,2;299;3274,92;0442
Villavieja del Lozoya;2020/11/17 12:22:00;;;5;1976,28;8;3162,06;1821
Prádena del Rincón;2020/11/17 12:22:00;;;;0;;854,7;1179
La Cabrera;2020/11/17 12:22:00;;;5;187,48;125;4686,91;0301
Sevilla la Nueva;2020/11/17 12:22:00;;;24;257,57;372;3992,27;1415
La Acebeda;2020/11/17 12:22:00;;;;0;;0;
Redueña;2020/11/17 12:22:00;;;;0;6;2307,69;1219
Robledillo de la Jara;2020/11/17 12:22:00;;;;1250;9;11250;1245
La Serna del Monte;2020/11/17 12:22:00;;;;1234,57;5;6172,84;1381
Colmenar de Oreja;2020/11/17 12:22:00;;;76;946,22;375;4668,82;0437
Rozas de Puerto Real;2020/11/17 12:22:00;;;;0;20;3773,58;1283
Valdemanco;2020/11/17 12:22:00;;;;109,41;21;2297,59;1586
Brunete;2020/11/17 12:22:00;;;34;316,69;372;3464,98;0262
Titulcia;2020/11/17 12:22:00;;;;152,32;35;2665,65;1473
Villa del Prado;2020/11/17 12:22:00;;;24;368,1;497;7622,7;1718
Lozoyuela-Navas-Sieteiglesias;2020/11/17 12:22:00;;;;230,95;44;3387,22;9015
Quijorna;2020/11/17 12:22:00;;;12;348,94;127;3692,93;1198
Valdemoro;2020/11/17 12:22:00;;;157;206,63;2620;3448,14;1610
Tres Cantos;2020/11/17 12:22:00;;;111;232,6;1496;3134,82;9036
Torrelaguna;2020/11/17 12:22:00;;;21;441,18;263;5525,21;1512
Rivas-Vaciamadrid;2020/11/17 12:22:00;;;234;265,46;3443;3905,84;1230
El Atazar;2020/11/17 12:22:00;;;;0;;1123,6;0164
Pedrezuela;2020/11/17 12:22:00;;;21;356,42;223;3784,79;1087
Santa María de la Alameda;2020/11/17 12:22:00;;;;159,49;33;2631,58;1356
Horcajuelo de la Sierra;2020/11/17 12:22:00;;;;0;;1162,79;0719
Arroyomolinos;2020/11/17 12:22:00;;;73;232,51;956;3044,97;0151
Moralzarzal;2020/11/17 12:22:00;;;76;583,45;516;3961,31;0908
Canencia;2020/11/17 12:22:00;;;;223,71;25;5592,84;0344
Villarejo de Salvanés;2020/11/17 12:22:00;;;35;477,16;388;5289,71;1809
Serranillos del Valle;2020/11/17 12:22:00;;;;96,04;173;4153,66;1408
Villaviciosa de Odón;2020/11/17 12:22:00;;;74;265,85;884;3175,86;1816
Camarma de Esteruelas;2020/11/17 12:22:00;;;21;286,26;178;2426,39;0323
Robledo de Chavela;2020/11/17 12:22:00;;;11;257,61;128;2997,66;1258
Patones;2020/11/17 12:22:00;;;;0;28;5175,6;1071
Navalagamella;2020/11/17 12:22:00;;;7;268,2;114;4367,82;0954
Rascafría;2020/11/17 12:22:00;;;6;360,58;54;3245,19;1202
El Boalo;2020/11/17 12:22:00;;;43;572,72;331;4408,63;0231
Majadahonda;2020/11/17 12:22:00;;;271;377,3;3620;5039,96;0800
Batres;2020/11/17 12:22:00;;;;178,15;42;2494,06;0170
Alcobendas;2020/11/17 12:22:00;;;324;276,83;6670;5698,91;0066
Alcalá de Henares;2020/11/17 12:22:00;;;358;182,98;7712;3941,75;0053
Colmenar Viejo;2020/11/17 12:22:00;;;193;380,28;2444;4815,57;0455
San Fernando de Henares;2020/11/17 12:22:00;;;112;284,03;1809;4587,64;1300
Villalbilla;2020/11/17 12:22:00;;;36;259,4;375;2702,12;1723
El Escorial;2020/11/17 12:22:00;;;46;284,62;575;3557,73;0549
Colmenar del Arroyo;2020/11/17 12:22:00;;;;173,91;100;5797,1;0421
Torrejón de Ardoz;2020/11/17 12:22:00;;;282;214,65;6739;5129,55;1489
Piñuécar-Gandullas;2020/11/17 12:22:00;;;;0;5;2702,7;1147
Brea de Tajo;2020/11/17 12:22:00;;;;381,68;47;8969,47;0259
El Molar;2020/11/17 12:22:00;;;13;145,45;365;4083,69;0869
Belmonte de Tajo;2020/11/17 12:22:00;;;;120,19;43;2584,13;0199
Torres de la Alameda;2020/11/17 12:22:00;;;15;192,83;315;4049,36;1548
Somosierra;2020/11/17 12:22:00;;;;1162,79;;3488,37;1436
Alpedrete;2020/11/17 12:22:00;;;65;445,97;618;4240,14;0105
Orusco de Tajuña;2020/11/17 12:22:00;;;7;562,7;68;5466,24;1028
La Hiruela;2020/11/17 12:22:00;;;;0;;3508,77;0698
Cervera de Buitrago;2020/11/17 12:22:00;;;;0;9;6000;0395
Getafe;2020/11/17 12:22:00;;;415;226,31;8385;4572,62;0650
Ribatejada;2020/11/17 12:22:00;;;;127,71;18;2298,85;1224
Villaconejos;2020/11/17 12:22:00;;;46;1357,73;188;5549;1701
Valdetorres de Jarama;2020/11/17 12:22:00;;;20;444,74;125;2779,63;1646
Madrid-Retiro;2020/11/10 10:27:00;;;361;302,56;5425;4546,71;79603
Madrid-Salamanca;2020/11/10 10:27:00;;;499;341,54;6649;4550,87;79604
Madrid-Centro;2020/11/10 10:27:00;;;421;312,2;6595;4890,69;79601
Madrid-Arganzuela;2020/11/10 10:27:00;;;427;277,63;7161;4655,96;79602
Madrid-Chamartín;2020/11/10 10:27:00;;;442;303,05;6336;4344,22;79605
Madrid-Tetuán;2020/11/10 10:27:00;;;495;313,25;8084;5115,71;79606
Madrid-Chamberí;2020/11/10 10:27:00;;;546;391,74;6437;4618,34;79607
Madrid-Fuencarral-El Pardo;2020/11/10 10:27:00;;;692;281,37;10186;4141,68;79608
Madrid-Moncloa-Aravaca;2020/11/10 10:27:00;;;434;363,43;5680;4756,36;79609
Madrid-Latina;2020/11/10 10:27:00;;;667;280;12524;5257,37;79610
Madrid-Carabanchel;2020/11/10 10:27:00;;;742;293,17;15616;6169,92;79611
Madrid-Usera;2020/11/10 10:27:00;;;323;231,14;9345;6687,37;79612
Madrid-Puente de Vallecas;2020/11/10 10:27:00;;;811;345,32;18477;7867,34;79613
Madrid-San Blas - Canillejas;2020/11/10 10:27:00;;;483;305,42;7599;4805,18;79620
Madrid-Barajas;2020/11/10 10:27:00;;;121;247,22;1928;3939,12;79621
Madrid-Moratalaz;2020/11/10 10:27:00;;;300;317,23;5125;5419,27;79614
