Lat;Lon;Title;PCR REALIZADOS;TOTAL ACUMULADO;POSITIVOS;NEGATIVOS;ACUMULADO POSITIVO;ACUMULADO NEGATIVO;NUEVOS CASOS ACUMULADO 14 DIAS;NUEVOS CASOS ACUMULADO 7 DIAS;TASA IA 14;TASA IA 7
42.5727159;-2.7100606;ABALOS;0;96;0;0;14;82;0;0;-1;-1
42.4451704;-2.2913654;AGONCILLO;1;357;0;1;37;320;11;0;998.1851;0
41.9620521;-1.9940825;AGUILAR DEL RIO ALHAMA;1;158;0;1;26;132;7;2;-1;-1
42.16395;-2.43759;AJAMIL DE CAMEROS;0;6;0;0;0;6;0;0;-1;-1
42.3560509;-2.4736796;ALBELDA DE IREGUA;1;1716;0;3;176;1540;11;6;319.2107;174.1149
42.4060734;-2.4392907;ALBERITE;2;930;0;2;75;855;7;2;289.0173;82.5764
42.405104;-2.1198668;ALCANADRE;3;166;1;4;12;154;3;1;-1;-1
42.2293469;-1.8880858;ALDEANUEVA DE EBRO;1;1483;0;1;95;1388;7;4;253.5313;144.875
42.414271;-2.8171672;ALESANCO;0;167;0;0;14;153;0;0;-1;-1
42.4054779;-2.6904851;ALESON;0;6;0;0;0;6;0;0;-1;-1
42.1785741;-1.7492454;ALFARO;5;8013;0;7;676;7337;30;21;316.5893;221.6125
42.5752687;-2.9027969;ANGUCIANA;0;100;0;0;9;91;0;0;-1;-1
42.2612479;-2.7648813;ANGUIANO;0;221;0;0;16;205;2;1;-1;-1
42.3865969;-2.7188924;ARENZANA DE ABAJO;0;69;0;0;10;59;6;4;-1;-1
42.388468;-2.695645;ARENZANA DE ARRIBA;0;4;0;0;2;2;2;1;-1;-1
42.2124721;-2.2373856;ARNEDILLO;2;136;0;2;22;114;3;1;-1;-1
42.2273401;-2.0995697;ARNEDO;30;5388;4;26;586;4802;154;105;1035.2941;705.8824
42.4354749;-2.2521162;ARRUBAL;3;129;0;4;11;118;0;0;-1;-1
42.3447755;-2.1690484;AUSEJO;1;182;0;1;6;176;1;1;-1;-1
42.2130714;-2.0057815;AUTOL;5;1271;2;3;214;1057;24;11;531.9149;243.7943
42.4234645;-2.8014132;AZOFRA;0;66;0;0;6;60;0;0;-1;-1
42.3677057;-2.8083919;BADARAN;0;78;0;0;1;77;0;0;-1;-1
42.470048;-2.9100066;BAÑARES;0;140;0;0;26;114;0;0;-1;-1
42.3348282;-2.7612306;BAÑOS DE RIO TOBIA;0;399;0;0;28;371;3;1;189.9937;63.3312
42.5118917;-2.9459867;BAÑOS DE RIOJA;0;37;0;0;2;35;0;0;-1;-1
42.3385097;-2.8526767;BERCEO;0;27;0;0;0;27;0;0;-1;-1
42.2522016;-2.13194;BERGASA;1;56;0;1;4;52;0;0;-1;-1
42.3175989;-2.7600208;BOBADILLA;0;38;0;0;4;34;0;0;-1;-1
42.1640402;-2.7936493;BRIEVA DE CAMEROS;1;7;0;1;0;7;0;0;-1;-1
42.5420879;-2.7878054;BRIONES;0;184;0;0;22;162;1;1;-1;-1
42.6012036;-2.8307543;BRIÑAS;0;40;0;0;4;36;0;0;-1;-1
42.3035212;-1.9648758;CALAHORRA;103;9168;11;93;1133;8035;176;102;726.6722;421.1396
42.3544752;-2.7220509;CAMPROVIN;0;49;0;0;7;42;0;0;-1;-1
42.1426201;-3.0251241;CANALES DE LA SIERRA;0;8;0;0;0;8;0;0;-1;-1
42.3994057;-2.8412029;CANILLAS DE RIO TUERTO;0;3;0;0;0;3;0;0;-1;-1
42.3743627;-2.767099;CARDENAS;0;27;0;0;2;25;0;0;-1;-1
42.5479528;-2.9110775;CASALARREINA;0;404;0;0;67;337;5;2;455.3734;182.1494
42.5119534;-2.9317081;CASTAÑARES DE RIOJA;0;155;0;0;19;136;0;0;-1;-1
42.3301583;-2.6613127;CASTROVIEJO;0;5;0;0;0;5;0;0;-1;-1
43.5515198;7.0134418;CAÑAS;0;26;0;0;3;23;2;0;-1;-1
42.6271687;-2.9993768;CELLORIGO;0;3;0;0;0;3;0;0;-1;-1
42.4813371;-2.6420483;CENICERO;0;768;0;1;55;713;1;1;48.1696;48.1696
42.0058319;-1.9554794;CERVERA DEL RIO ALHAMA;2;692;0;3;55;637;1;0;43.592;0
42.4907417;-2.8604633;CIDAMON;0;5;0;0;0;5;0;0;-1;-1
42.5655085;-2.9218252;CIHURI;0;74;0;0;5;69;0;0;-1;-1
42.4117511;-2.8955322;CIRUEÑA;0;45;0;0;8;37;0;0;-1;-1
